"I like studying at KTU university (1-not at all, 5-very much)",I consider myself an advanced student.,"At the moment, I would describe my studies at KTU University as:",Provides feedback,Clearly and understandably explains the subject,Is sincere,Has sense of humor.,Is creative,Is punctual,Is able to communicate properly with students,Writes high grades,What qualities should a good teacher have?,Engaging all students in the activities during the lecture,Informative,Easily understandable,Includes many examples,Motivating to achieve the best results,Allowing creative execution of tasks,Summary at the end of the lecture,What other criteria you would select for a good lecture?,Structured information provided,Weekly questionnaires during the lecture,Team work,Gamified learning material,Informal learning environment,"Social networks involvement in the learning process (TikTok, Instagram, etc.)",Artificial intelligence inclusion in the learning process,Help/consultation from other students,Specify what else would motivate you to engage in the activities of the lecture.,Talking too fast,Teminology is too complicated,Monotonous speach,There is no communication between the lecturer and students,Background noise,Excessive information in one lecture,Indicate what else is disturbing you from understanding the information presented in the lecture:,I would like to improve my public speaking skills,I would be interested in testing myself as a teacher,I would like to hear how other students present conduct lectures,Student_ID
3,Yes,Gained enough knowledge,5,5,5,5,5,4,5,3,"Helping, Understanding",2,5,5,4,3,3,5,"The lecture should be informative, but also not too long, with as little unnecessary information as possible.",5,3,1,4,3,2,3,3,Easily understandable lecture content,4,5,5,3,4,5,Too much unnecessary information,4,1,3,P11
3,No,Gained enough knowledge,4,5,4,5,5,3,4,3,Creates a good atmosphere,4,4,5,5,3,4,4,,5,3,3,4,3,3,4,4,,4,5,4,5,4,4,speaking too quietly.,4,1,3,P12
4,Yes,Gained enough knowledge,4,5,3,2,4,5,5,3,Respects students,4,4,4,5,3,3,5,"Not too much information at once, it's better to present information with examples.",5,3,2,2,3,2,5,3,I don't have an answer.,5,5,5,5,4,5,,4,4,1,P13
5,Yes,I learned a lot,5,5,4,5,4,5,5,3,,1,5,4,5,5,4,5,,5,4,4,3,4,4,4,4,,4,5,3,1,4,5,,4,1,1,P14
4,Just a little,Gained enough knowledge,5,5,4,3,3,5,5,1,is able to explain the relevance of the subjects being taught.,4,5,4,4,5,2,4,Relevant,5,3,1,1,1,1,1,3,,4,4,5,4,5,5,,3,1,1,P15
4,Just a little,Gained enough knowledge,5,5,4,3,4,4,5,3,,4,4,4,3,4,4,4,,5,3,4,3,4,4,4,5,,3,4,5,4,3,5,,3,3,3,P16
5,Just a little,Gained enough knowledge,4,5,5,5,5,5,5,5,,5,5,5,5,5,3,3,,5,3,5,3,1,1,1,1,,3,5,5,5,5,5,,1,1,1,P17
4,Just a little,Gained enough knowledge,4,5,4,3,4,3,4,3,does not discriminate,4,5,5,4,4,4,4,it can be related to real-life activities,4,2,3,4,3,3,4,4,well-written activity/work plan,4,4,5,4,4,5,poorly structured lecturer's slides,4,1,2,P18
4,Yes,Gained enough knowledge,5,5,5,5,5,5,5,2,The ability to engage students in the subject being taught by providing examples of application.,5,5,4,5,5,4,3,Many practical examples,5,2,2,1,3,1,1,4,I like the current structure and organization of the lectures.,4,3,5,5,5,5,The information is provided without practical examples.,3,1,1,P19
4,Yes,Gained enough knowledge,5,5,4,3,3,5,5,2,Representation of the topic that it would be relevant,4,5,3,5,4,3,2,"Interest, relevance",5,3,1,2,3,1,1,5,Application of lecture material in real life example,5,5,5,5,5,5,Phone addiction,3,1,1,P20
4,Just a little,I learned a lot,4,4,5,5,5,4,5,4,allows correct myself.,3,4,4,5,3,3,5,To show life examples in theoretical lectures.,4,3,4,2,4,2,3,5,Interesting topics,5,4,5,5,4,3,The lecturer explains the correct answer poorly.,4,3,4,P21
3,No,Gained enough knowledge,4,5,3,5,4,3,5,3,"One wouldn't want to be an axe, but also not to let everyone pass to everyone.",3,4,4,5,5,5,5,Many examples,5,4,4,5,3,3,3,5,extra points,5,5,5,5,3,5,"Most often the lecture is early, and due to inappropriate personal life choices, I go to bed too late.",3,4,5,P22
4,Just a little,Gained enough knowledge,5,5,5,4,5,5,4,2,Concrete,4,5,5,5,4,3,3,Appropriate learning atmosphere,4,2,3,4,3,1,3,4,"Understandable material, when you start to look, it makes you want to learn more.",4,5,5,4,4,3,Not enough sleep.,4,2,3,P23
4,Just a little,I learned a lot,5,5,5,5,5,2,5,4,Help when a problem arises.,3,5,5,5,5,3,4,"The more examples, the better.",3,3,2,3,3,2,2,3,,4,5,3,3,2,5,,1,1,1,P24
4,Just a little,Gained enough knowledge,4,5,5,5,4,4,4,3,Get along well with students,4,4,4,4,4,4,4,Explains where to use it.,4,4,4,5,4,3,4,4,Explains where to use it.,5,5,5,4,5,5,Lack of attention,4,2,2,P25
5,Just a little,Gained enough knowledge,5,5,5,4,3,3,5,3,Patient,1,4,4,5,2,2,3,Interesting and relevant information is presented.,3,4,5,5,5,4,4,5,Group work,2,5,5,5,3,4,,3,1,2,P26
4,Just a little,Gained enough knowledge,4,4,5,5,5,5,5,5,knows how to manage the audience,5,5,5,5,5,5,5,,5,3,4,5,3,3,3,5,,5,5,5,5,4,5,"Explaining one topic in order to clarify another topic due to context is good, but not when it takes too long.",4,4,4,P27
4,No,I learned a lot,5,5,5,5,3,3,5,1,Sincerity. Those teachers who treat students like people are definitely more liked.,1,3,3,5,2,1,5,They are already listed above.,4,2,2,1,4,1,1,3,I have nothing to add.,3,5,5,5,2,2,"Speaking too quickly, speaking too slowly is also not good. Of course, it is difficult to find a pace that suits everyone. Due to the large amount of information, sometimes this is unavoidable, and sometimes it can even be beneficial, as you become familiar with a lot of new material, and if you want, you can delve into it at home.",1,1,1,P28
1,Yes,I learned nothing new,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,,5,5,5,P29
4,Just a little,I learned not much,5,5,5,5,4,4,4,5,Able to involve students. Not with weak nerves.,4,5,5,5,5,3,3,"Attendance is not mandatory, as there is the possibility to do work from home and come to lectures to submit assignments or ask questions. This way, lectures become more effective.",5,2,2,5,4,4,4,5,Additional points,2,5,5,2,1,5,Lectures early in the morning,2,2,3,P30
4,Yes,Gained enough knowledge,4,5,5,4,3,5,5,4,"Competence, consistency.",4,4,4,4,4,3,3,The lecture time is used effectively.,4,3,3,2,2,2,2,3,Interesting content,5,4,4,3,5,5,Distraction from the topic,4,3,4,P31
4,Just a little,Gained enough knowledge,4,5,5,3,2,3,5,2,"Friendly, understanding, clearly and understandably presents the topic, helps students who find it harder to understand the material being taught",1,4,4,5,1,2,3,"Don't rush too much, it's better to be clear than fast. Also, resolve examples with both the instructor and fellow students.",4,1,1,1,2,1,1,5,The module's topic is interesting and the theme's understanding/complexity is easier.,5,5,3,4,2,5,High complexity and quantity of the topic. Everything else has already been marked in the questionnaire.,1,1,1,P32
4,Just a little,Gained enough knowledge,5,5,2,4,3,4,5,4,,4,4,5,5,5,4,3,,3,3,4,3,4,3,3,5,,5,5,4,5,4,4,,3,1,2,P33
4,Yes,Gained enough knowledge,4,3,4,4,4,5,3,3,I don't know,3,4,2,4,3,4,1,I don't know,5,3,1,4,3,1,4,4,I don't know,2,3,5,5,5,4,I don't know,3,3,4,P34
5,Yes,I learned a lot,5,5,5,5,5,5,5,2,,5,5,5,5,5,5,5,,5,1,5,4,2,1,3,5,Humor,3,5,5,5,3,5,,2,1,1,P35
4,Yes,Gained enough knowledge,5,5,4,4,3,4,5,3,I don't know,5,5,3,5,3,3,3,Real application of things that are being taught.,3,3,4,2,4,2,2,4,Good atmosphere,2,3,5,3,5,3,I don't know,3,1,3,P36
4,Just a little,Gained enough knowledge,5,5,5,4,3,4,5,4,"Clearly explains material, communicates with students.",3,5,5,5,4,3,3,Not boring,5,1,3,4,5,1,3,5,Interesting representation of material,4,5,5,4,5,5,Uninteresting material being taught,3,2,4,P37
4,Yes,Gained enough knowledge,5,5,5,4,4,4,5,3,Respect,4,5,4,4,4,4,4,"Interesting, practical presentation of the material",4,4,3,4,5,3,5,3,The opportunity to work independently,4,4,3,4,4,4,The lecturer's indifference,5,4,4,P38
4,Yes,I learned not much,5,5,3,3,3,3,5,2,,2,5,4,4,3,5,3,,5,3,1,2,3,1,2,5,,3,2,5,2,5,4,,3,2,2,P39
5,Yes,I learned a lot,5,5,5,5,4,3,5,2,,4,5,4,5,5,5,5,,3,4,3,3,3,2,2,3,,5,4,3,5,4,5,,4,2,3,P40
1,Yes,Gained enough knowledge,5,5,3,5,2,5,5,3,Don't be an axe.,3,5,5,3,4,5,3,"Useful material or laboratory work, not drawing pictures in bmp format through the .net framework.",5,3,3,4,5,2,5,5,Interesting lectures and if I could see the benefit of that module in the future.,2,5,5,5,2,5,"When the slides are being read, I can read the slides at home.",4,1,1,P41
4,Just a little,Gained enough knowledge,4,5,4,3,4,3,5,4,Able to understand students.,4,5,4,4,3,3,3,Not boring,3,4,2,3,2,2,3,3,,3,4,5,4,3,4,Boring lecture/learning material,4,1,2,P42
3,Just a little,Gained enough knowledge,5,5,4,3,3,4,4,3,"Helpful, patient.",3,5,5,4,3,2,3,"The information is presented concisely, without excessive information.",5,3,2,3,2,2,2,2,"The information is presented concisely, without excessive information.",3,4,2,2,4,4,"The prepared material is being taught ""by reading.""",3,1,1,P43
4,Yes,Gained enough knowledge,5,5,5,5,5,5,5,5,Likes the subject they teach.,3,5,5,4,4,3,3,Keep to the topic,5,3,3,4,4,2,4,3,extra benefits for the exam,3,4,3,3,5,4,,4,1,3,P44
3,Just a little,Gained enough knowledge,5,5,4,5,4,3,5,4,"Understanding, uniqueness",3,5,5,5,4,5,5,"When enough information is provided, but not too much, and it is presented interestingly.",4,5,1,5,5,3,4,3,Funny and more useful activities,5,5,5,4,5,5,"When speaking too quietly, when there is only text with nothing else.",5,1,5,P45
5,Just a little,I learned a lot,5,5,4,3,4,4,5,5,Understands that life has force majeure. Not necessarily taking everything seriously.,3,5,5,5,4,3,4,"Memorable, the most important aspects are emphasized.",5,4,5,5,5,3,4,4,Clear benefit distinguishing results for active participation.,4,5,4,3,5,5,"Personal condition, health.",5,3,4,P46
4,Yes,Gained enough knowledge,5,5,5,5,5,5,5,3,I don't know,5,5,5,5,4,4,3,I don't know,4,4,3,4,4,1,3,4,I don't know,4,5,5,4,5,4,I don't know,4,4,3,P47
5,Yes,I learned a lot,5,5,5,5,5,5,5,5,,5,5,5,3,4,5,5,,5,2,5,3,4,1,5,5,😎,5,5,5,3,3,5,😎,5,4,4,P48
4,Just a little,Gained enough knowledge,4,5,4,4,5,4,5,5,,4,5,5,5,5,4,5,The speed is neither too fast nor too slow.,5,4,3,4,3,4,3,3,Extra points,5,5,5,5,5,5,When there are no examples.,4,2,3,P49
5,Yes,I learned a lot,5,5,4,4,4,3,3,3,Likes the subject they teach.,2,3,4,3,4,5,3,Is not just boring theory.,4,4,1,3,4,1,2,1,Interesting tasks,2,3,5,3,3,4,ADHD,2,2,2,P50
4,Just a little,I learned a lot,4,5,5,5,5,4,5,3,Understanding,3,5,5,4,3,4,5,Interesting,4,4,3,4,5,4,4,4,Extra points,4,5,4,5,2,5,information dryness,2,1,4,P51
3,Just a little,Gained enough knowledge,4,3,4,2,3,4,4,3,Humanity,3,4,2,4,4,5,2,,5,4,4,2,2,1,3,4,,2,3,3,2,1,4,,1,1,1,P52
4,Yes,I learned a lot,5,5,3,3,3,4,5,1,,2,5,5,4,1,3,1,,5,3,3,3,3,3,3,3,,4,3,5,5,3,5,,1,1,1,P53
3,Just a little,Gained enough knowledge,4,5,2,4,3,3,4,1,"Not to focus so much on the submitted work as on the student's knowledge (i.e., if a student did not manage to complete the work due to personal reasons but can perfectly explain the topic and answer questions, they deserve a 10 just as much).",3,4,3,2,5,3,1,"The human period of high concentration is about 15 minutes, while the lecture lasts 90 minutes. Therefore, I suggest inserting short breaks for rest, such as team work, surveys, and so on.",3,4,3,5,5,2,4,3,Less formality,3,3,5,2,4,3,"If the module is not relevant to the life goals being pursued, it is simply harder to listen.",5,5,4,P54
3,Yes,I learned not much,5,5,5,5,4,5,5,3,Chill,5,5,5,5,4,4,4,Chill,5,5,4,5,5,3,3,4,Candy,5,5,5,4,5,5,,4,4,3,P55
4,Just a little,I learned a lot,5,5,4,4,4,3,5,3,"With greatness, with justice",4,5,4,5,4,4,5,Detailed presentation and delivery of information,5,3,2,4,4,2,4,2,Random group selection,4,4,5,4,2,4,Silent speech,2,1,1,P56
3,No,Gained enough knowledge,3,5,5,5,3,2,4,2,Explanation of frequently observed mistakes,3,5,4,5,2,3,5,"The topic is presented professionally, then summarized briefly but less formally.",4,5,1,4,5,1,2,3,Preparation for practical activity,1,3,2,4,5,5,"Abstract, hasty explanation, language mistakes.",3,2,1,P57
4,Yes,I learned a lot,4,5,3,2,3,5,5,4,"Being able to help a student with certain tasks, rather than directing them to some educational document.",1,5,5,3,1,3,5,The help to prepare for various assessments is provided.,5,1,1,1,3,1,1,3,It is important to listen and learn from the teacher or the provided material.,4,5,4,1,5,3,Cold learning conditions,2,1,1,P58
4,Just a little,Gained enough knowledge,4,5,3,4,3,2,5,5,Understanding,1,5,3,5,3,2,4,Not boring,3,3,4,3,3,2,4,3,,4,5,4,3,4,5,A lot of text in the slides,3,1,1,P59
4,Yes,Gained enough knowledge,5,5,5,5,4,5,5,3,Chill,5,5,5,5,5,4,4,Not boring,5,4,3,4,4,2,4,5,Groups where team members can be selected,5,5,5,4,5,5,,3,2,3,P60
4,Just a little,Gained enough knowledge,5,5,4,3,3,3,5,3,writes positive grades,3,5,5,4,3,2,3,Information is not just being from slides,4,3,1,2,2,1,2,2,nothing,2,3,5,2,3,5,information is read from the slides,4,3,4,P61
4,Yes,I learned a lot,5,5,5,5,5,1,4,2,,4,5,4,4,5,5,1,"If the lecture material is presented in multimedia format via a projector, the projector's image must be visible and clear, so the blinds often need to be drawn or even the lights turned off.",1,1,5,3,5,1,1,4,Cheaper coffee in coffee machines.,3,3,5,2,1,3,09:00:00,4,2,5,P62
3,Just a little,Gained enough knowledge,4,5,5,5,3,4,5,3,It must be accessible.,2,4,5,5,3,4,1,The lecture must be interesting.,3,4,2,4,5,1,1,3,If the lecture discusses topics that I have encountered outside of an academic environment.,5,3,1,1,5,5,If you delve very deeply into specific aspects of the theory.,4,1,2,P63
4,No,I learned a lot,4,5,3,3,4,1,5,3,Do not have attitude to a student who knows less.,1,4,4,5,2,4,4,"A practical lecture is good if it can apply the information from a theoretical lecture, and a theoretical lecture is good if it helps to better understand and assist in completing the tasks given during practical sessions.",3,3,2,3,3,1,2,4,If the lecture being taught is interesting and engaging,4,5,3,3,4,4,,3,1,4,P64
5,Just a little,Gained enough knowledge,5,5,5,5,5,5,5,5,Polite,5,5,5,5,5,5,5,Interesting,5,5,5,5,5,5,5,5,Fun,5,5,5,5,5,5,Nothing,5,5,5,P65
5,Yes,Gained enough knowledge,5,5,5,5,5,5,5,4,Maintain the position that there are no stupid questions,4,5,5,5,5,5,5,Provide practical examples during the theory session. Briefly remind the theory during the activities.,5,3,1,2,3,1,3,4,Sincerely interesting teaching material.,4,5,3,4,5,5,If no examples are provided.,3,1,1,P66
4,Just a little,Gained enough knowledge,5,5,5,4,4,4,5,3,Teaches relevant material,4,5,5,5,5,5,4,,4,4,4,4,4,4,4,4,I don't know,4,5,4,4,5,4,I don't know,5,4,4,P67
4,Just a little,Gained enough knowledge,4,5,4,4,5,4,5,4,I have nothing to add,5,4,5,4,4,4,4,Clear examples,4,4,3,4,3,2,4,4,Prizes,4,5,3,3,4,5,Fatigue,3,2,4,P68
4,Yes,Gained enough knowledge,5,5,5,4,3,4,5,5,Friendly,5,5,5,5,4,3,3,I don't know,4,2,3,5,4,1,3,4,Ban TikTok,5,4,5,4,5,5,Pointless jokes from the lecturer that just waste time.,3,1,2,P69
4,Just a little,Gained enough knowledge,5,5,5,3,3,3,5,5,Friendly,4,4,4,4,3,3,4,Interesting,4,4,3,4,4,3,3,3,Communication,5,5,4,4,5,5,There's a lack of breaks.,4,4,3,P70
4,Just a little,I learned a lot,5,5,5,3,5,5,5,2,positive attitude towards his own work and willingness to work,1,4,4,5,5,2,4,"information is presented clearly and interestingly, not monotonously",4,2,2,1,1,1,4,2,"activity that has a clearly visible value and benefit, rather than just activity that seems to be done because there is nothing to fill the lecture time with",2,5,5,5,5,5,blunt speech,3,1,1,P71
5,Yes,Gained enough knowledge,5,5,5,5,5,3,5,4,Willing to talk,5,5,5,5,5,5,5,"Many examples are provided, easy to understand.",4,4,5,5,4,3,4,5,Additional points,1,5,4,5,3,4,Talking in complex terms,2,3,3,P72
5,Just a little,Gained enough knowledge,5,5,5,5,5,5,5,5,Good understanding and is able to explain the subject they teach,4,5,5,5,4,4,3,Clear and easy to understand,3,3,3,3,3,1,5,4,Good topic of the lecture,5,5,2,3,5,4,"Lack of attention, boring lecture, no practical tasks being performed.",2,1,3,P73
4,Just a little,Gained enough knowledge,5,5,5,3,3,5,5,3,Respect,5,5,3,5,3,5,5,The lecturer speaks clearly and understandably.,5,5,3,3,3,1,3,3,Small prizes,5,5,5,5,5,5,The lecturer speaks unclearly.,5,1,5,P74
4,Just a little,I learned a lot,5,5,5,2,2,5,5,5,Understanding,1,5,5,5,5,2,4,Important information that I wouldn't find out at home.,2,4,3,1,1,1,1,4,I don't know,2,2,2,2,4,4,Used unknown terms,4,2,1,P75
4,Yes,Gained enough knowledge,5,5,4,1,1,4,5,3,Have experience in where students most often make mistakes and advise,4,5,4,5,2,3,4,"When what is taught is deeply understood, it can easily be found on the internet.",4,2,2,1,4,1,4,3,Students should be more interested themselves.,4,4,5,3,5,5,Most often drowsiness,5,3,5,P76
4,Yes,I learned a lot,5,5,5,4,5,5,5,4,Honest,4,5,5,5,5,5,4,Useful information,4,3,4,5,4,2,4,5,Additional points,4,5,5,5,5,5,Reading from slides,5,3,3,P77
4,Yes,Gained enough knowledge,5,5,5,4,4,3,5,2,Understanding,3,4,4,4,4,4,5,"It should be explained in a human, understandable way.",4,4,2,5,3,2,3,5,Good teachers,5,5,5,5,5,5,"Information density and coherence. Often, if you accidentally lose focus and miss part of a lecture, you won't understand the entire lecture anymore.",4,3,1,P78
4,Just a little,Gained enough knowledge,4,5,4,4,4,4,5,4,Objective assessment,4,5,5,5,4,4,5,Concrete theme idea revelation,5,1,4,4,4,4,5,4,Subject being taught,5,5,5,5,5,5,Not understandable speech of the lecturer,4,1,4,P79
4,Just a little,Gained enough knowledge,5,5,5,5,5,5,5,5,Love his work,5,5,5,5,5,5,2,"To maintain attention, as theoretical lectures usually consist of reading slides and that's it.",5,2,5,5,5,5,5,5,,5,5,5,5,2,5,the lecturer talks to himself and not to the students,3,1,1,P80
3,Just a little,Gained enough knowledge,5,5,3,3,3,4,5,3,,3,5,5,4,3,3,3,,3,2,1,3,3,1,3,4,,1,4,5,3,4,5,,2,1,3,P81
5,Just a little,Gained enough knowledge,4,4,4,5,5,4,4,5,Not to be an axe,5,5,4,3,5,5,1,Joyful,3,5,5,3,5,5,5,4,I like to laugh.,2,1,5,2,2,4,When the teacher is not cool 💅,3,2,2,P82
4,Just a little,Gained enough knowledge,5,5,3,4,5,3,5,3,😁,4,5,4,4,4,4,3,😁,4,5,2,4,3,5,3,4,😁,2,4,4,3,4,4,,3,1,2,P83
4,Yes,Gained enough knowledge,5,4,4,4,4,5,5,3,Understanding of his work,4,4,4,4,4,4,5,Group work,4,3,3,4,4,2,3,4,Many examples from life,5,5,5,5,4,5,The lecturer's indifference,5,3,3,P84
3,Just a little,Gained enough knowledge,5,5,5,4,4,4,5,3,Patient and enthusiasm,5,5,5,5,3,4,5,Discuss common mistakes,5,3,4,3,2,2,5,5,,4,5,5,5,3,5,When he speaks slowly and boringly,3,1,2,P85
5,No,Gained enough knowledge,5,5,5,5,3,3,5,2,Calm,3,5,4,4,5,5,5,"Enough material, neither too much nor too little.",5,4,3,4,3,2,3,4,,4,4,3,5,4,4,,3,3,4,P86
3,Just a little,Gained enough knowledge,5,4,3,3,3,4,5,3,Flexible.,4,4,4,5,5,3,4,The material is useful in the real world.,3,3,3,3,2,2,3,4,The ongoing activities will be beneficial in the future.,3,4,3,3,4,4,The information is only theoretical and practically unapplicable.,5,3,5,P87
4,Yes,I learned a lot,5,5,4,5,3,5,5,3,Understanding,4,5,5,4,5,4,3,Good teacher.,3,3,5,4,3,2,3,5,When you know that classes will help you achieve better results.,3,5,4,3,5,5,"When there are no examples, especially on complex topics.",3,1,3,P88
4,Just a little,Gained enough knowledge,5,5,3,4,3,5,5,4,Understanding,3,4,5,4,4,3,2,Interesting,4,1,3,3,3,3,5,5,Additional points for assessments,4,5,4,3,4,5,Speaks quietly,3,2,4,P89
3,No,I learned not much,5,5,3,2,4,2,5,2,"To discuss more, to show practical applications of the teaching material.",5,5,5,5,4,3,5,,5,5,3,4,2,1,1,4,,5,5,5,5,2,5,,4,3,3,P90
4,Yes,Gained enough knowledge,5,5,4,4,3,5,5,3,,2,4,5,4,4,4,5,,4,3,3,4,3,2,3,5,,4,5,5,5,3,4,,4,1,4,P91
5,Yes,I learned a lot,5,4,3,5,4,5,4,3,Understands their field of teaching.,5,5,4,5,5,4,5,,3,5,3,5,4,4,5,5,,3,4,5,5,5,5,,3,1,4,P92
5,Yes,I learned a lot,4,5,5,3,3,5,4,5,Honest,4,5,5,5,3,4,3,Detailing,5,3,2,2,3,1,5,2,Generous lecturer,2,3,2,3,4,5,Little information about the topic,1,1,2,P93
3,Just a little,Gained enough knowledge,4,5,3,3,3,3,5,4,Understanding students,4,5,4,4,3,3,3,Not too much information,4,2,3,4,4,4,4,4,Knowing that this knowledge will help somewhere,5,4,5,1,1,5,,2,1,4,P94
5,Just a little,I learned a lot,5,5,5,5,5,3,5,1,:),4,4,4,5,3,5,3,,5,4,5,4,4,2,4,4,,3,4,5,4,4,5,,3,1,4,P95
4,Just a little,Gained enough knowledge,4,5,5,4,4,5,5,3,,4,5,5,4,4,3,4,,5,4,3,3,3,2,3,3,,5,5,4,4,5,3,,3,3,3,P96
3,Just a little,Gained enough knowledge,5,5,5,4,4,5,5,5,"Avoids stereotypes, able to explain the subject being taught in other ways if the student does not understand.",3,5,5,5,5,4,5,"The necessary material for the exit is available, and there is little left for independent work at home.",5,3,5,5,4,4,4,5,Opportunity to earn additional points,4,5,5,4,4,5,"When the lecturer speaks so quietly that they can't be heard in the 5th row, or you have to listen intently.",2,1,4,P97
5,Yes,Gained enough knowledge,5,5,5,3,5,4,5,3,Friendly communication,5,5,5,5,5,5,5,In time,5,3,2,3,5,2,2,3,,5,5,5,5,5,5,,5,1,1,P98
4,Yes,Gained enough knowledge,4,5,5,3,3,4,5,2,"Responsible, able to plan",4,5,2,4,4,4,3,"Clear examples are provided, and at least a brief plan is anticipated: how much should be done in one session, how much in others.",4,2,1,2,3,1,3,2,"Clear, understandable, interesting topic with real application.",4,3,4,2,3,3,Mix up between themes,3,2,2,P99
4,Just a little,Gained enough knowledge,5,5,5,3,3,3,5,1,empathetic and understanding,4,5,5,5,4,3,4,Properly allocated time - issues that are not relevant should not be explained or raised.,4,3,4,4,5,3,3,5,Freedom - to give the choice of how to perform the given tasks.,5,5,5,5,5,3,When the essential points quickly pass by. When delving into a certain area without providing context before.,3,4,3,P100
5,Just a little,I learned a lot,5,5,5,5,5,5,5,4,"They should fully understand the subject they are teaching so that if a student asks questions, there are no doubts in answering them. Also, sometimes it is easier to ask or work with the teacher if the communication is a bit more relaxed, as it does not create unnecessary tension or fear during lectures.",4,5,5,5,5,5,5,"Interactive methods of presenting information, rather than just dry theory, since the lecture time is long and it is usually difficult to maintain attention from the middle if only theory is presented.",5,3,3,5,5,3,5,5,"Overall, there is a good atmosphere between students and the teacher, as maintaining good relationships makes it easier to communicate and achieve better results.",5,5,5,5,5,5,"When we are talking about many new things at once, and it is not emphasized what is actually relevant and what is not.",5,5,5,P101
4,Yes,Gained enough knowledge,4,5,5,5,4,4,5,3,helpful and wants to explain.,3,5,4,5,3,5,4,"There are no mandatory tests after each lecture, making a different decision.",4,2,5,3,3,2,4,4,"Clear presentation of information, providing answers to raised questions, collective task completion, i.e., the whole group works together.",5,5,5,5,3,5,"The lecturer's tossing around, changing opinions.",4,2,4,P102
5,Yes,I learned a lot,5,5,5,5,5,4,5,3,Understanding a particular situation that arises.,5,5,5,5,4,5,4,"Personally, from the lectures, I want to be introduced to the topic, to review the characteristics of the topic, or any applications in real life of the things we learn in the lectures. This, plus the criteria mentioned earlier in the form.",5,3,3,3,3,1,4,4,"Personally, I don't lack anything extra, I attend classes and lectures punctually.",4,4,5,4,5,5,"When the lecture topic exists only to exist. That is, we do not use the material of the topic for laboratory work or I see no reason for this topic to exist.",4,4,3,P103
