Quality of slides,Quality of presentation,Ability to interact with the audience,Answers to questions,Asked a question,Top 5,Additional comments,Student_ID,Presenter_ID,Class
6,6,2,2.0,1,Yes,0,P1,P2,1
6,6,2,2.0,0,Yes,0,P11,P2,1
6,6,2,2.0,0,Yes,1,P7,P2,1
6,6,2,2.0,1,Yes,0,P3,P2,1
6,6,2,2.0,0,Yes,1,P4,P2,1
6,6,2,2.0,0,Yes,0,P12,P2,1
6,6,2,2.0,0,Yes,0,P9,P2,1
6,6,2,2.0,0,Yes,1,P6,P2,1
6,6,2,2.0,1,Yes,1,P5,P2,1
5,5,2,2.0,0,No,0,P7,P10,1
6,5,2,2.0,0,Yes,0,P12,P10,1
5,5,2,2.0,1,No,0,P1,P10,1
4,3,2,1.0,0,No,0,P3,P10,1
4,5,1,2.0,1,No,0,P4,P10,1
6,6,2,2.0,1,No,0,P2,P10,1
6,6,1,2.0,1,No,1,P5,P10,1
5,5,2,2.0,0,No,0,P11,P10,1
6,6,2,2.0,0,Yes,1,P7,,1
5,6,0,2.0,0,Yes,0,P1,P9,1
6,6,2,2.0,0,Yes,0,P12,P9,1
6,6,2,2.0,0,Yes,1,P2,,1
6,6,2,2.0,0,Yes,0,P6,P9,1
6,6,2,2.0,0,Yes,0,P11,P9,1
6,6,2,2.0,0,Yes,1,P10,P9,1
6,5,2,2.0,0,No,0,P16,P24,2
5,5,2,2.0,0,No,0,P22,,2
6,5,2,2.0,0,No,0,P17,P24,2
6,6,2,2.0,0,Yes,0,P30,P24,2
5,5,2,2.0,0,No,0,P31,P24,2
5,5,2,2.0,0,No,0,P13,P24,2
5,5,2,2.0,0,No,0,P32,P24,2
5,6,2,2.0,0,No,0,P14,P24,2
6,5,2,2.0,0,No,0,P20,P24,2
6,5,2,2.0,0,No,0,P28,P24,2
6,5,2,2.0,1,No,0,P15,P24,2
5,5,2,2.0,0,No,0,P25,P24,2
5,6,2,2.0,0,No,0,P19,P24,2
6,5,2,2.0,0,No,0,P13,P21,2
3,2,1,0.0,0,No,0,P19,P21,2
6,6,2,2.0,0,No,0,P16,P21,2
3,4,2,2.0,0,Yes,1,P22,P21,2
6,6,2,2.0,0,No,0,P17,P21,2
4,4,2,2.0,0,No,0,P31,P21,2
4,6,2,2.0,0,No,0,P28,P21,2
6,4,2,2.0,0,No,0,P30,P21,2
5,5,2,2.0,0,No,0,P32,P21,2
5,6,2,2.0,1,Yes,0,P20,P21,2
6,6,2,2.0,0,Yes,0,P14,P21,2
6,6,2,2.0,1,Yes,0,P15,P21,2
6,6,2,2.0,0,No,0,P25,P21,2
6,6,2,2.0,1,No,0,P24,P21,2
5,5,2,2.0,0,No,0,P23,P24,2
6,6,2,2.0,0,No,1,P21,P24,2
6,6,2,2.0,0,Yes,0,P13,,2
6,5,2,2.0,0,No,0,P16,,2
6,6,1,2.0,0,Yes,0,P17,,2
6,6,2,2.0,0,Yes,1,P22,,2
6,6,2,2.0,0,Yes,0,P15,,2
6,6,1,1.0,0,Yes,0,P30,,2
6,6,2,2.0,0,Yes,0,P31,,2
6,6,1,2.0,1,Yes,0,P28,,2
6,6,1,2.0,0,Yes,0,P32,,2
6,6,2,2.0,0,Yes,0,P14,,2
5,5,2,2.0,0,Yes,1,P21,,2
6,6,2,2.0,0,Yes,0,P19,,2
5,6,1,2.0,0,No,0,P20,,2
6,6,2,2.0,0,Yes,0,P24,,2
4,5,2,2.0,0,No,0,P23,P21,2
6,6,1,2.0,0,Yes,0,P25,,2
6,6,2,2.0,0,Yes,1,P23,,2
5,5,2,2.0,0,Yes,0,P63,P64,5
5,5,2,2.0,0,No,0,P59,P64,5
5,6,1,2.0,1,No,0,P52,P64,5
5,5,1,2.0,1,No,0,P54,P64,5
6,6,2,2.0,0,Yes,1,P51,P64,5
4,4,1,2.0,0,No,0,P57,P64,5
5,5,2,2.0,1,No,0,P49,P64,5
5,4,2,2.0,0,No,0,P50,,5
5,4,2,2.0,0,Yes,0,P58,P64,5
4,2,1,2.0,0,No,0,P53,,5
5,4,0,0.0,0,No,0,P62,P64,5
4,5,2,2.0,0,No,0,P47,P64,5
6,6,2,2.0,0,No,0,P48,P64,5
6,6,1,2.0,1,No,0,P56,P64,5
5,4,2,2.0,0,No,0,P61,P64,5
6,6,2,2.0,0,Yes,0,P48,P54,5
3,3,1,1.0,1,No,0,P55,P64,5
6,5,2,2.0,1,No,0,P60,P64,5
5,6,2,2.0,0,Yes,0,P62,P54,5
6,6,2,2.0,0,Yes,0,P63,P54,5
6,6,2,2.0,0,Yes,0,P59,P54,5
6,6,2,2.0,1,Yes,0,P55,P54,5
6,6,2,2.0,1,Yes,0,P57,P54,5
6,6,2,2.0,1,Yes,1,P51,P54,5
6,6,2,2.0,0,Yes,0,P61,P50,5
6,6,2,2.0,0,Yes,0,P60,P54,5
6,6,2,2.0,0,Yes,0,P50,P54,5
6,6,2,2.0,1,Yes,0,P56,P54,5
6,6,2,2.0,0,Yes,0,P47,P54,5
6,6,2,2.0,0,Yes,0,P53,P54,5
5,6,2,2.0,0,Yes,0,P58,,5
5,5,2,2.0,0,No,0,P49,P54,5
6,6,2,2.0,0,Yes,0,P61,P54,5
6,6,1,2.0,0,No,0,P62,,5
5,6,2,2.0,0,No,0,P59,,5
6,5,2,1.0,0,Yes,0,P57,P50,5
6,6,2,2.0,0,No,0,P60,P50,5
6,6,2,2.0,1,Yes,0,P55,P50,5
6,5,2,2.0,1,Yes,1,P54,P50,5
6,6,2,2.0,0,Yes,0,P56,P50,5
6,5,2,2.0,0,,0,P53,P50,5
6,6,2,2.0,0,Yes,0,P63,P50,5
6,6,2,2.0,0,,0,P48,P50,5
6,6,2,2.0,0,Yes,0,P47,P50,5
6,6,2,2.0,0,No,1,P48,P51,5
5,5,2,2.0,0,Yes,0,P58,P50,5
5,5,2,2.0,1,No,0,P49,P50,5
5,5,2,2.0,0,No,0,P59,P51,5
6,6,2,2.0,0,Yes,1,P64,P54,5
4,4,1,1.0,0,No,0,P57,P51,5
4,4,2,2.0,0,No,0,P61,P51,5
6,6,2,2.0,0,No,0,P60,P51,5
4,6,1,2.0,0,No,1,P54,P51,5
6,6,2,2.0,0,,0,P47,P51,5
6,6,0,0.0,0,Yes,1,P56,P51,5
6,4,2,2.0,0,Yes,0,P53,P51,5
6,4,2,,0,Yes,0,P58,P51,5
5,5,2,2.0,0,No,0,P49,P51,5
6,6,1,2.0,0,Yes,0,P55,P51,5
4,6,2,2.0,0,No,0,P63,P51,5
6,6,2,2.0,0,Yes,1,P64,P50,5
6,6,2,2.0,1,No,0,P50,P51,5
5,5,1,2.0,1,No,1,P64,P51,5
5,5,2,2.0,1,No,1,P96,P98,8
6,6,2,2.0,0,No,0,P93,,8
6,6,2,2.0,1,No,0,P104,P98,8
6,6,2,2.0,1,No,0,P94,P98,8
6,6,2,2.0,0,No,0,P103,P98,8
4,5,2,2.0,0,No,0,P97,P98,8
4,4,2,2.0,0,No,0,P99,P98,8
4,4,2,2.0,0,No,0,P102,P98,8
6,5,2,2.0,0,Yes,0,P104,P100,8
6,6,2,2.0,1,Yes,0,P97,P100,8
6,6,2,2.0,1,Yes,0,P94,P100,8
6,6,2,2.0,1,Yes,0,P99,P100,8
6,6,2,2.0,1,Yes,1,P102,P100,8
4,5,2,2.0,0,No,0,P92,P100,8
6,6,2,2.0,0,Yes,1,P96,P100,8
6,6,2,2.0,1,Yes,0,P98,P100,8
6,6,2,2.0,1,Yes,0,P103,P100,8
6,6,2,2.0,1,Yes,0,P93,P100,8
4,5,2,2.0,0,No,0,P100,P98,8
6,5,2,2.0,0,No,0,P93,P96,8
5,5,1,0.0,0,No,0,P104,P96,8
6,6,2,2.0,1,No,0,P94,P96,8
5,4,2,2.0,0,No,0,P102,P96,8
5,5,1,2.0,1,No,0,P99,P96,8
6,6,2,2.0,0,No,0,P92,P96,8
6,6,2,2.0,0,Yes,0,P98,P96,8
5,5,2,2.0,1,No,0,P97,P96,8
5,4,2,2.0,1,No,0,P103,P96,8
4,5,2,2.0,0,No,0,P100,P96,8
4,5,1,2.0,0,No,0,P99,P104,8
4,4,2,2.0,1,No,0,P100,P104,8
6,6,2,2.0,0,No,0,P94,P104,8
6,4,2,2.0,0,No,0,P93,P104,8
5,4,2,2.0,0,No,0,P103,P104,8
5,4,2,2.0,0,No,0,P97,P104,8
6,3,2,2.0,0,No,0,P92,P104,8
5,4,2,2.0,0,No,0,P102,P104,8
6,5,1,2.0,0,,1,P96,,8
6,6,2,2.0,0,Yes,0,P98,P104,8
6,6,2,2.0,1,Yes,1,P79,,6
6,6,2,2.0,0,Yes,0,P70,P77,6
6,6,2,2.0,0,No,0,P71,P77,6
4,6,2,2.0,0,No,1,P76,P77,6
6,6,2,2.0,1,No,0,P66,P77,6
6,6,2,2.0,1,No,0,P68,,6
6,6,2,2.0,0,Yes,0,P78,P77,6
6,6,2,2.0,1,Yes,1,P79,,6
6,6,1,2.0,0,No,0,P71,P76,6
6,6,2,2.0,0,Yes,0,P66,P76,6
6,6,2,2.0,0,Yes,0,P70,P76,6
6,6,2,2.0,0,Yes,0,P78,P76,6
6,6,2,2.0,0,Yes,0,P68,,6
6,5,2,2.0,1,No,0,P77,P76,6
6,6,1,2.0,0,No,0,P71,P69,6
6,6,2,2.0,1,Yes,1,P79,,6
6,6,2,2.0,1,Yes,0,P70,P69,6
6,6,1,2.0,0,Yes,0,P77,P69,6
6,5,2,2.0,0,No,0,P68,P69,6
6,6,2,2.0,0,Yes,0,P78,P69,6
6,6,2,2.0,0,No,0,P66,P69,6
6,4,1,2.0,0,No,0,P76,P69,6
6,6,2,2.0,0,Yes,1,P69,P77,6
6,6,2,2.0,0,Yes,1,P69,,6
6,6,2,2.0,0,Yes,1,P69,P76,6
6,6,2,2.0,1,Yes,1,P79,,6
6,6,2,2.0,0,No,0,P71,,6
6,6,2,2.0,0,No,0,P66,,6
6,6,2,2.0,0,Yes,0,P68,,6
6,6,2,2.0,1,Yes,0,P77,,6
6,6,2,2.0,0,Yes,0,P70,,6
5,6,2,2.0,0,No,1,P43,P33,4
6,6,2,2.0,1,No,0,P36,P33,4
6,6,2,2.0,0,Yes,1,P40,P33,4
5,5,2,2.0,1,No,0,P37,P33,4
6,6,2,2.0,1,Yes,0,P46,P33,4
6,6,2,2.0,0,,0,P42,P33,4
6,6,2,2.0,0,No,0,P44,P33,4
5,6,2,2.0,1,No,0,P39,P33,4
6,6,2,2.0,1,No,0,P39,P33,4
6,6,2,2.0,0,Yes,1,P40,P35,4
6,6,2,2.0,1,Yes,0,P33,P35,4
6,6,2,2.0,0,Yes,0,P36,P35,4
6,6,2,2.0,0,,0,P42,P35,4
5,5,2,2.0,0,Yes,0,P43,P35,4
6,6,2,2.0,0,Yes,0,P46,P35,4
6,6,2,2.0,0,Yes,0,P39,P35,4
6,6,2,2.0,0,Yes,0,P44,P35,4
6,6,2,2.0,0,No,0,P37,P35,4
6,6,2,2.0,1,No,0,P35,P33,4
6,6,2,2.0,0,No,1,P33,P42,4
6,6,2,2.0,0,No,0,P36,P42,4
6,6,2,2.0,1,Yes,0,P46,P42,4
6,6,1,2.0,0,No,0,P35,P42,4
6,6,2,2.0,0,Yes,0,P40,P42,4
5,5,2,2.0,0,No,0,P43,P42,4
6,6,2,2.0,0,Yes,0,P44,P42,4
6,5,2,2.0,0,No,0,P33,P37,7
5,5,2,2.0,0,No,0,P43,P37,4
6,6,2,0.0,1,Yes,0,P35,P37,4
6,6,2,2.0,1,Yes,0,P46,P37,4
6,6,2,2.0,1,Yes,0,P36,P37,4
6,6,2,2.0,1,Yes,0,P40,P37,4
6,6,1,2.0,0,No,0,P44,P37,4
6,5,2,2.0,0,Yes,0,P80,P106,7
6,6,2,2.0,0,No,0,P88,,7
6,6,2,2.0,1,No,0,P87,P106,7
5,6,2,2.0,1,Yes,0,P89,P106,7
6,5,2,2.0,0,Yes,0,P84,P106,7
6,5,2,2.0,0,Yes,0,P84,P106,7
6,6,2,2.0,1,Yes,0,P90,,7
5,5,2,2.0,0,No,0,P59,,5
5,5,1,1.0,0,No,0,P60,,5
5,3,1,1.0,0,No,0,P57,P52,5
5,5,1,2.0,0,No,0,P50,P52,5
5,5,1,2.0,1,No,0,P47,P52,5
3,3,1,2.0,0,No,1,P54,,5
5,4,2,1.0,0,No,0,P62,,5
5,4,1,1.0,0,No,0,P58,,5
3,3,1,2.0,0,No,0,P49,P52,5
4,4,1,1.0,1,No,0,P63,P52,5
5,4,1,2.0,0,No,1,P64,,5
5,5,1,2.0,0,No,0,P61,P52,5
2,2,1,1.0,0,No,0,P55,,5
6,6,2,2.0,0,No,0,P61,P60,5
6,6,2,2.0,0,Yes,0,P55,P60,5
6,5,1,2.0,0,Yes,0,P57,P60,5
6,6,2,2.0,1,Yes,0,P52,,5
6,6,2,2.0,0,Yes,0,P47,,5
5,5,2,2.0,1,Yes,1,P64,P60,5
5,5,2,2.0,1,Yes,0,P59,P60,5
6,6,1,2.0,0,Yes,0,P54,P60,5
6,6,2,2.0,0,Yes,0,P50,P60,5
6,6,2,2.0,2,Yes,0,P62,P60,5
5,6,2,2.0,0,Yes,0,P58,P60,5
5,5,2,2.0,0,No,0,P49,P60,5
5,5,2,2.0,0,No,0,P59,P63,5
5,5,1,2.0,0,,0,P57,P63,5
5,5,2,2.0,0,No,0,P61,P63,5
4,5,2,2.0,0,No,0,P49,P63,5
5,5,2,2.0,0,No,0,P62,,5
4,5,2,2.0,0,No,0,P58,P63,5
4,5,1,2.0,0,No,0,P54,P63,5
5,5,2,2.0,1,No,0,P64,P63,5
5,4,2,0.0,1,No,0,P50,P63,5
5,5,2,1.0,0,No,0,P47,P63,5
6,5,2,2.0,0,No,0,P60,P63,5
5,5,2,2.0,0,No,0,P61,P58,5
5,6,1,2.0,0,No,0,P47,P58,5
4,5,1,1.0,0,No,0,P57,P58,5
5,5,2,2.0,0,No,0,P59,P58,5
5,5,2,2.0,1,Yes,0,P64,P58,5
5,6,2,2.0,0,No,0,P50,P58,5
6,4,1,2.0,0,No,0,P54,P58,5
5,5,2,2.0,0,No,0,P49,P58,5
6,6,1,2.0,0,No,0,P60,P58,5
6,5,2,2.0,1,No,0,P103,P93,8
5,6,2,2.0,1,Yes,0,P102,P93,8
6,6,2,2.0,1,No,0,P94,P93,8
5,4,2,2.0,0,No,0,P97,P93,8
4,5,1,2.0,1,No,0,P99,P93,8
4,5,2,2.0,0,No,0,P100,P93,8
6,6,2,2.0,0,Yes,0,P98,P93,8
6,6,2,2.0,1,Yes,0,P96,P93,8
5,4,2,2.0,0,No,0,P104,P93,8
6,5,2,2.0,0,Yes,0,P99,,8
6,6,2,2.0,0,No,1,P93,,8
6,6,2,2.0,0,Yes,0,P104,,8
5,5,2,2.0,1,No,0,P96,,8
6,6,2,2.0,1,Yes,0,P94,,8
6,6,2,2.0,0,Yes,1,P103,,8
6,6,2,2.0,0,Yes,1,P102,,8
6,6,2,2.0,1,Yes,0,P98,,8
6,6,2,2.0,1,Yes,0,P100,,8
5,4,2,2.0,0,No,0,P101,,8
6,6,2,2.0,0,Yes,0,P99,P103,8
6,6,2,2.0,1,Yes,0,P101,P103,8
6,6,2,2.0,1,Yes,0,P94,P103,8
4,6,2,2.0,0,Yes,0,P100,P103,8
5,6,2,2.0,0,Yes,0,P96,P103,8
6,6,2,2.0,0,Yes,1,P93,P103,8
6,6,2,2.0,0,Yes,0,P98,,8
